Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Alcance Spotify / Relación Seguidores,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
531,Enrique Iglesias,España,He/Him,Artistas solistas,SME (Sony Music Latin),"Latin Pop, Latin",Superstar,Growth,10902490,28328891,0.384854,,76,205939471,553606
612801,ROSALÍA,España,She/Her,Artistas solistas,SME (Columbia Records),"Latin Pop, Electronic, Latin Dance, Latin",Superstar,Decline,8129091,24676142,0.329431,,76,240093780,650245
149609,Rels B,España,He/Him,Artistas solistas,DALE PLAY Records / Flakk Team,"Latin Hip-Hop/Rap, R&B/Soul, Latin Pop, Latin",Superstar,Growth,7062916,23910527,0.295389,,82,137646537,276984
9354370,Quevedo,España,He/Him,,Quevedo,"Latin Hip-Hop/Rap, Latin Pop, Latin",Superstar,Steady,4506226,26817795,0.168031,,79,111531878,129940
1294,David Bisbal,España,He/Him,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Superstar,Growth,4519994,8186005,0.552161,,67,72310609,144017
3862,Pablo Alborán,España,He/Him,Artistas solistas,WMG (Warner Music Spain),"Latin Pop, Latin",Superstar,Growth,4983398,13878795,0.359066,,71,76679823,157009
3884730,SAIKO,España,He/Him,Artistas solistas,"2024 SAIKONETA, 2023 SAIKO","Latin Hip-Hop/Rap, Latin Pop, R&B/Soul, Latin, Others",Superstar,Growth,952380,15088354,0.06312,,78,109703336,103034
4198945,Ibai Llanos,España,,,Unknown Association,"Hip-Hop/Rap, Dance, Comedy",Superstar,Explosive Growth,5298,12309,0.430417,,15,76043,1440
190,La Oreja de Van Gogh,España,They/Them,Grupo,Unknown Association,"Latin Pop, Latin",Superstar,Explosive Growth,3788516,14113222,0.268437,,71,58839307,108749
700,Alejandro Sanz,España,He/Him,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Superstar,Growth,7444989,12743783,0.584206,,72,125639647,204111
1428885,Morad,España,He/Him,Artistas solistas,M.D.L.R,"Latin Hip-Hop/Rap, Latin",Superstar,Growth,3077615,13941985,0.220744,,78,59498409,310372
776401,Aitana,España,She/Her,Artistas solistas,"UMG (Universal Music Spain), Hollywood Records","Latin Pop, Latin",Superstar,Steady,2978892,11281083,0.264061,,71,86559500,203551
214045,Bad Gyal,España,She/Her,Artistas solistas,UMG (Interscope),"Latin Hip-Hop/Rap, Latin Dance, R&B/Soul, Latin",Superstar,Steady,1628103,12879270,0.126413,,72,94042299,161344
1395386,Rvfv,España,He/Him,Artistas solistas,NASTU MUSIC,"Latin Hip-Hop/Rap, Latin",Superstar,Growth,635157,12338263,0.051479,,72,59953564,187831
247544,Manu Rios,España,,,Unknown Association,Pop,Superstar,Explosive Growth,66453,14793,4.492192,,16,233543,1991
188735,Rocío Dúrcal,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Legendary,Explosive Growth,4376289,7920936,0.552496,,67,39539400,71375
1044,Hombres G,España,They/Them,Grupo,WMG (Warner Music Spain),"Latin Pop, Latin Rock, Latin",Legendary,Growth,4254590,11110992,0.382917,,69,61700775,134303
6426109,YoSoyPlex,España,,,Plex Music,"Latin Hip-Hop/Rap, Latin Dance, House, Latin",Mainstream,Explosive Growth,211111,309916,0.681188,,43,722132,7826
4004432,Quevedo,España,,,Quevedo,"Latin Hip-Hop/Rap, Latin Pop, Latin",Superstar,Steady,,,,,,140029866,313422
740467,JC Reyes,España,,,Jc Reyes,"Latin Hip-Hop/Rap, Latin",Mainstream,Growth,673100,8629890,0.077996,,73,61272833,97751
1123831,Lola Indigo,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Superstar,Steady,1205537,7897650,0.152645,,68,63538530,139975
