Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
612801,ROSALÍA,España,She/Her,Artistas solistas,SME (Columbia Records),"Latin Pop, Electronic, Latin Dance, Latin",Superstar,Decline,8127231.0,24753783.0,0.328323,75.0,242518261.0,648580.0
214045,Bad Gyal,España,She/Her,Artistas solistas,UMG (Interscope),"Latin Hip-Hop/Rap, Latin Dance, R&B/Soul, Latin",Superstar,Steady,1624896.0,13002795.0,0.124965,72.0,100691224.0,160716.0
776401,Aitana,España,She/Her,Artistas solistas,"Hollywood Records, UMG (Universal Music Spain)","Latin Pop, Latin",Superstar,Steady,2977107.0,11415665.0,0.260791,71.0,83072793.0,202939.0
1123831,Lola Indigo,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Superstar,Steady,1204234.0,7930530.0,0.151848,68.0,62431810.0,139449.0
188735,Rocío Dúrcal,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Legendary,Explosive Growth,4372705.0,7903355.0,0.553272,67.0,42571322.0,71138.0
1576173,Lia Kali,España,She/Her,Artistas solistas,Propaganda Pel Fet!,"Hip-Hop/Rap, Pop, R&B/Soul",Mid-Level,Growth,134949.0,7238157.0,0.018644,66.0,22087121.0,18120.0
207839,Ana Mena,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin Hip-Hop/Rap, Latin",Mainstream,Growth,855939.0,6388987.0,0.133971,66.0,57542413.0,120800.0
201356,Marta Sánchez,España,She/Her,Artistas solistas,"Woman Music, Virtual Beat Studios","Latin Pop, Latin",Mainstream,Explosive Growth,446944.0,6126089.0,0.072957,60.0,49326740.0,71411.0
209585,Rozalén,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Singer/Songwriter, Latin Folk, Latin",Mainstream,Growth,832741.0,3744218.0,0.222407,61.0,26147796.0,67900.0
207598,India Martinez,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Mainstream,Growth,953292.0,3678904.0,0.259124,61.0,29639658.0,56969.0
508881,Melody,España,She/Her,Artistas solistas,Melody,"Latin Pop, R&B/Soul, Latin Hip-Hop/Rap, Latin",Mainstream,Decline,372063.0,3386826.0,0.109856,58.0,27704859.0,42168.0
142070,Jeanette,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Mainstream,Growth,442873.0,2993904.0,0.147925,56.0,17544650.0,67384.0
207037,Vanesa Martín,España,She/Her,Artistas solistas,WMG (Warner Music Spain),"Latin Pop, Latin",Mainstream,Growth,1131822.0,2769681.0,0.408647,61.0,23617235.0,46293.0
688,Rosana,España,She/Her,Artistas solistas,"Venex Records Estudio de Grabación, C.A., Symon","Latin Pop, Latin",Mainstream,Growth,853366.0,2728016.0,0.312816,56.0,19944160.0,52432.0
51682,Natalia Jiménez,España,She/Her,Artistas solistas,SME (Sony Music Latin),"Latin Pop, Holiday, Latin Rock, Latin",Mainstream,Steady,960145.0,2638875.0,0.363846,59.0,19872231.0,64321.0
209594,Malú,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Mainstream,Steady,1665681.0,2613991.0,0.637218,58.0,18646661.0,39547.0
11888,Rosario,España,She/Her,Artistas solistas,Picaflor Latin Music,"Latin Pop, Latin",Mainstream,Growth,762443.0,2563698.0,0.2974,57.0,19534184.0,63904.0
447772,La Húngara,España,She/Her,Artistas solistas,Adriático Records,"Latin Pop, Latin",Mainstream,Growth,332857.0,2555304.0,0.130261,56.0,17552059.0,88475.0
211176,Ana Torroja,España,She/Her,Artistas solistas,OCESA Seitrack,"Latin Pop, Latin",Mainstream,Growth,728398.0,2530460.0,0.287852,55.0,25537548.0,49229.0
212499,Niña Pastori,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Flamenco, Singer/Songwriter, Latin",Mainstream,Steady,783022.0,2386020.0,0.328171,56.0,15501648.0,46551.0
3495635,Ptazeta,España,She/Her,Artistas solistas,UMG (Interscope),"Latin Hip-Hop/Rap, Electronic, Latin Pop, Latin",Mainstream,Decline,170577.0,2342189.0,0.072828,55.0,19547118.0,94563.0
169489,Bebe,España,She/Her,Artistas solistas,"CEO Culture, WMG (Warner Music Spain)","Latin Pop, Latin Rock, Christian, Latin",Mainstream,Growth,456045.0,1956611.0,0.233079,54.0,12559550.0,75281.0
1700717,Vicco,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin Hip-Hop/Rap, Latin",Mainstream,Decline,92170.0,1806993.0,0.051007,55.0,11161081.0,27229.0
68069,Monica Naranjo,España,She/Her,Artistas solistas,Missis Oranges Productions S. L.,"Latin Pop, Latin",Mainstream,Growth,794496.0,1481399.0,0.536315,55.0,11793229.0,28064.0
1333915,Natalia Lacunza,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Mainstream,Steady,225206.0,1350059.0,0.166812,52.0,9590848.0,58243.0
497960,Rita Payés,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Jazz, Rock, Big Band",Mainstream,Growth,134581.0,1348553.0,0.099797,51.0,10166061.0,42187.0
35768,Conchita,España,She/Her,Artistas solistas,Altafonte,"Latin Pop, Latin",Mid-Level,Steady,198231.0,1317362.0,0.150476,51.0,4213242.0,21747.0
22247,Isabel Pantoja,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Mainstream,Growth,1000461.0,1314300.0,0.761212,52.0,11413878.0,18501.0
1561093,Babi,España,She/Her,Artistas solistas,Babi,"Hip-Hop/Rap, R&B/Soul, Pop",Mainstream,Growth,608781.0,1110389.0,0.548259,58.0,4165857.0,42649.0
321419,Ana Belén,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Mid-Level,Growth,457934.0,1103575.0,0.414955,50.0,9668694.0,31476.0
283474,Melody,España,She/Her,Artistas solistas,Rumbera Record,"Latin Pop, Latin Dance, R&B/Soul, Latin",Mid-Level,Steady,33562.0,905629.0,0.037059,45.0,6460333.0,19556.0
3655492,Judeline,España,She/Her,Artistas solistas,"UMG (Interscope), Judeline","R&B/Soul, Latin Pop, Latin Hip-Hop/Rap, Latin",Mid-Level,Steady,67230.0,897270.0,0.074927,52.0,5388429.0,22205.0
86502,Luz Casal,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Mid-Level,Growth,355623.0,788223.0,0.451171,49.0,1630734.0,9452.0
