Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
BEA PELEA,Hazmelo otra vez,129724,0.655,0.721,0,-8.049,1,0.085,0.116,1.22e-05,0.203,0.843,99.966
BEA PELEA,Si No Te Vuelvo a Ver,199585,0.741,0.871,10,-3.189,1,0.054,0.222,0.000304,0.164,0.866,92.002
BEA PELEA,Oye Papi,186644,0.657,0.868,11,-5.4,0,0.227,0.0161,0.000581,0.0548,0.957,167.982
BEA PELEA,Loka,166634,0.696,0.716,1,-8.603,1,0.215,0.081,0.0,0.0865,0.742,176.066
BEA PELEA,A los Dos,172194,0.814,0.613,10,-4.631,1,0.0709,0.19,0.0023,0.0406,0.799,92.011
BEA PELEA,Date Cuenta,126000,0.854,0.604,11,-6.117,1,0.0876,0.00432,0.605,0.13,0.377,120.029
BEA PELEA,Mi Mejor Amiga,169090,0.718,0.783,7,-2.857,1,0.0832,0.0216,0.0,0.149,0.612,176.103
BEA PELEA,El Deseo,186666,0.718,0.832,11,-5.211,1,0.0455,0.16,0.00051,0.0609,0.462,90.036
BEA PELEA,Piensas en Mi,131240,0.796,0.673,0,-5.489,1,0.305,0.145,0.00259,0.122,0.239,96.989
BEA PELEA,Traicionera,143467,0.781,0.53,11,-6.428,0,0.205,0.448,0.221,0.514,0.738,94.982
