name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
SAOKO,137533,0.835,0.772,0,-5.711,1,0.247,0.793,2.01e-05,0.515,0.683,100.034
CANDY,193488,0.641,0.493,4,-5.75,0,0.182,0.883,0.0174,0.155,0.419,179.842
LA FAMA,188121,0.769,0.299,0,-7.909,0,0.0491,0.944,3.69e-05,0.122,0.805,135.985
BULERÍAS,155861,0.776,0.458,0,-6.281,1,0.291,0.936,0.000154,0.199,0.772,127.358
CHICKEN TERIYAKI,122209,0.79,0.39,2,-6.492,1,0.123,0.437,5.86e-05,0.103,0.583,98.036
HENTAI,162929,0.572,0.295,7,-11.265,0,0.327,0.887,0.0,0.134,0.301,109.529
BIZCOCHITO,109109,0.93,0.765,1,-4.193,1,0.0736,0.575,0.0474,0.125,0.813,116.994
G3 N15,252121,0.448,0.0681,0,-16.357,1,0.0489,0.965,0.000136,0.112,0.101,94.245
MOTOMAMI,61422,0.92,0.327,2,-7.334,1,0.412,0.664,0.00497,0.0981,0.64,120.03
DIABLO,165552,0.714,0.25,0,-8.972,1,0.352,0.81,0.000238,0.0668,0.391,87.984
DELIRIO DE GRANDEZA,155436,0.644,0.248,1,-10.792,1,0.034,0.874,4.09e-05,0.376,0.29,101.582
CUUUUuuuuuute,150701,0.616,0.494,1,-8.993,1,0.36,0.104,0.000475,0.171,0.161,139.892
Abcdefg,65961,0.627,0.167,7,-17.881,1,0.951,0.949,0.0,0.301,0.37,172.575
LA COMBI VERSACE,160296,0.862,0.479,5,-5.843,0,0.535,0.543,0.000269,0.103,0.448,90.968
COMO UN G,262104,0.493,0.126,7,-14.323,0,0.0454,0.96,1.13e-05,0.225,0.221,63.818
Thank Yu :),34918,0.619,0.142,1,-28.669,1,0.924,0.926,0.0,0.74,0.697,129.634
DESPECHÁ,156787,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04
CANDY - Remix,204654,0.738,0.674,4,-3.837,0,0.179,0.727,0.00229,0.0815,0.556,179.979
LA FAMA - Live en el Palau Sant Jordi,226089,0.497,0.683,3,-5.492,0,0.0369,0.772,0.000814,0.961,0.468,135.823
AISLAMIENTO,206869,0.498,0.271,2,-9.568,0,0.25,0.938,1.83e-05,0.0897,0.391,87.18
LA KILIÉ,131087,0.617,0.507,6,-7.077,0,0.627,0.698,0.00883,0.0789,0.9,181.879
LAX,89749,0.651,0.327,4,-10.07,1,0.402,0.928,0.0,0.225,0.551,135.325
CHIRI,120991,0.407,0.556,4,-6.098,0,0.172,0.633,0.00156,0.693,0.474,161.985
SAKURA,201625,0.34,0.311,5,-10.189,0,0.0613,0.94,0.0039,0.848,0.133,86.539
SAOKO,137533,0.827,0.768,0,-5.702,1,0.265,0.79,2.45e-05,0.497,0.734,99.988
CANDY,193480,0.638,0.49,4,-5.726,0,0.226,0.885,0.0116,0.156,0.403,179.905
LA FAMA,188106,0.766,0.295,0,-7.893,0,0.0464,0.947,4.44e-05,0.119,0.805,136.016
