Chartmetric ID,Artista,País,Región,Continente,Pronombres,Solista/Grupo,Géneros,Puntuación en Chartmetric,Clasificación en Chartmetric,Rango de Engagement,Clasificación por base de fans,Etapa de la carrera,Momentum Reciente,Seguidores en TikTok,Me gusta en TikTok,Tasa de Participación en TikTok,Publicaciones de TikTok,Vistas en TikTok,Conteo de Shazam,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify,Suscriptores al canal de YouTube,Vistas del canal de YouTube,Engagement en YouTube,Conteo de playlists en YouTube,Fans en Deezer,Conteo de playlists en Deezer,Alcance de playlists en Deezer,Seguidores en SoundCloud,Streams en SoundCloud,Conteo de playlists en iTunes,Conteo de playlists en Amazon,Seguidores en Instagram,Engagement en Instagram,Apariciones en radio,Seguidores de Facebook,Visualizaciones en Wikipedia,Songkick Fans,Visitas a la página de Genius,Enlace de Spotify,Primera fecha de lanzamiento,Última fecha de lanzamiento
114414,La Zowi,España,Southern Europe,Europe,She/Her,Desconocido,"Latin Hip-Hop/Rap, Latin",5410,17911.0,17063.0,21100.0,Mid-Level,Growth,183400.0,1600000.0,9.024,25111.0,110462765.0,395109.0,271003.0,1093596.0,0.247809,54.0,5272228.0,42318.0,50400.0,0.0,3.1528,8.0,4335.0,20.0,503115.0,,,25.0,19.0,439133.0,10.1045,453.0,8402.0,33.0,18386.0,161171.0,https://open.spotify.com/artist/1jB62pOe5WpGiHOBDtKBBG,"Sep 16, 2016","May 3, 2024"
3655492,Judeline,España,Southern Europe,Europe,She/Her,Artistas solistas,"R&B/Soul, Latin Pop, Latin Hip-Hop/Rap, Latin",3806,25613.0,27512.0,20835.0,Mid-Level,Steady,21200.0,293200.0,12.9481,1455.0,2900676.0,160110.0,67082.0,901131.0,0.074442,52.0,5392723.0,22092.0,22200.0,4253319.0,23.9361,6.0,532.0,5.0,101836.0,,,34.0,42.0,94554.0,14.2008,507.0,-1.0,,19521.0,-1.0,https://open.spotify.com/artist/1H6X7yhnXZg73f9bssaj1Q,"Sep 26, 2019","Apr 10, 2024"
1035434,Aleesha,España,Southern Europe,Europe,She/Her,Desconocido,"Latin Hip-Hop/Rap, Latin Pop, R&B/Soul, Latin",4911,19819.0,18195.0,27400.0,Mid-Level,Steady,155800.0,3000000.0,12.836,1835.0,15074957.0,116802.0,41234.0,611849.0,0.067392,47.0,6371131.0,23812.0,99400.0,22775567.0,1.9314,7.0,624.0,7.0,182923.0,,,17.0,17.0,190886.0,5.158399999999999,2195.0,-1.0,4.0,5037.0,42995.0,https://open.spotify.com/artist/18qC8mrcJ9ZjChRDPvpadi,"May 5, 2018","May 24, 2024"
821591,Albany,España,Southern Europe,Europe,She/Her,Artistas solistas,"Latin Hip-Hop/Rap, Latin Pop, Electronic, Latin",3691,26402.0,23513.0,45702.0,Mid-Level,Growth,-1.0,-1.0,-1.0,4890.0,18300273.0,543035.0,97984.0,433721.0,0.225915,45.0,2655852.0,30996.0,46200.0,12966818.0,-1.0,4.0,1687.0,7.0,1984.0,,,17.0,1.0,140322.0,12.2449,119.0,-1.0,1612.0,,31357.0,https://open.spotify.com/artist/0W7oBn4W3biry1eehAk8wu,"Nov 2, 2017","Mar 22, 2024"
1136302,Juicy BAE,España,Southern Europe,Europe,She/Her,Desconocido,"Hip-Hop/Rap, Pop, R&B/Soul",2036,46904.0,43536.0,65410.0,Developing,Steady,-1.0,-1.0,-1.0,1753.0,6509454.0,55941.0,52997.0,275749.0,0.192193,46.0,1291134.0,19441.0,67500.0,23581604.0,12.0846,2.0,623.0,4.0,32915.0,,,7.0,4.0,113727.0,14.7736,161.0,-1.0,,6976.0,5506.0,https://open.spotify.com/artist/46K14JAfAHpxTSkb6KkFfN,"Sep 8, 2017","Apr 22, 2024"
847038,Lopes,España,Southern Europe,Europe,She/Her,Grupo,Hip-Hop/Rap,1699,55309.0,50752.0,78175.0,Developing,Growth,-1.0,-1.0,-1.0,2615.0,2400571.0,70116.0,69822.0,272326.0,0.256391,44.0,1574460.0,17919.0,146000.0,65098763.0,-1.0,1.0,2310.0,5.0,9758.0,326.0,,2.0,1.0,85498.0,3.0518,24.0,-1.0,20.0,,35704.0,https://open.spotify.com/artist/2C1KWrmE57M3riWQArK4kz,"Dec 13, 2015","May 16, 2024"
1411263,LUNA KI,España,Southern Europe,Europe,She/Her,Artistas solistas,"Latin Hip-Hop/Rap, Latin Pop, Alternative Rap, Latin",1572,58962.0,59912.0,51692.0,Developing,Steady,51300.0,930900.0,2.7129,20969.0,114792784.0,136725.0,55888.0,175819.0,0.317872,40.0,1331716.0,15347.0,71400.0,20113110.0,-1.0,3.0,945.0,1.0,706.0,1386.0,20708.0,7.0,16.0,100425.0,3.2284,121.0,880.0,,10207.0,27559.0,https://open.spotify.com/artist/5yD3wtXDmbOloiFzO3km1M,"Feb 9, 2019","Apr 5, 2024"
1013739,BEA PELEA,España,Southern Europe,Europe,She/Her,Artistas solistas,"Latin Hip-Hop/Rap, Latin",675,111892.0,115431.0,97000.0,Developing,Steady,6490.0,40900.0,9.6545,1162.0,1970216.0,101217.0,50469.0,105775.0,0.477135,34.0,995265.0,8945.0,15500.0,5625856.0,3.0129,,1104.0,3.0,28482.0,2073.0,,9.0,,53228.0,0.0,87.0,-1.0,3.0,4670.0,-1.0,https://open.spotify.com/artist/7n8CEf82NSsckIB7kMwm9d,"Oct 31, 2016","Mar 27, 2024"
818847,Anier,España,Southern Europe,Europe,She/Her,Artistas solistas,Hip-Hop/Rap,610,120591.0,145405.0,77083.0,Developing,Growth,-1.0,-1.0,-1.0,1333.0,1702288.0,60865.0,128329.0,80443.0,1.595279,33.0,644201.0,9590.0,259000.0,52415103.0,-1.0,1.0,3129.0,2.0,3718.0,1721.0,,3.0,1.0,170028.0,2.1614,103.0,-1.0,56.0,6697.0,105019.0,https://open.spotify.com/artist/29WHGHkCIlASkOrbKKyvcS,"Jun 3, 2015","Oct 26, 2023"
1351271,Kenya Racaile,España,Southern Europe,Europe,She/Her,Artistas solistas,"Latin Hip-Hop/Rap, Latin",139,307087.0,286898.0,311424.0,Developing,Steady,-1.0,-1.0,-1.0,216.0,656685.0,11756.0,9283.0,19938.0,0.465593,22.0,188185.0,4830.0,,,-1.0,1.0,198.0,,,,,2.0,,18797.0,0.0,26.0,-1.0,,725.0,10986.0,https://open.spotify.com/artist/0NksTHRgwB06L2yPgHCEqk,"Jan 1, 2018","Apr 24, 2024"
658800,La Blondie,España,Southern Europe,Europe,She/Her,Artistas solistas,Hip-Hop/Rap,71,426955.0,410209.0,391068.0,Developing,Decline,-1.0,-1.0,-1.0,4989.0,1675703.0,135542.0,7742.0,9479.0,0.816753,14.0,336647.0,2425.0,,,-1.0,,111.0,,,,,1.0,,21224.0,2.5859,16.0,-1.0,,,17790.0,https://open.spotify.com/artist/5beYNHgHTJpIgDOtYfknoH,"Nov 21, 2016","Jul 28, 2022"
