Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
DEVA,After,130666,0.686,0.392,9,-9.11,0,0.177,0.486,0.0284,0.108,0.331,179.841
DEVA,Galerna,188901,0.525,0.285,7,-13.51,1,0.0949,0.891,2.32e-05,0.334,0.476,74.739
DEVA,Deva - Fugitivo Vol. 6 - Remix,146134,0.856,0.794,6,-5.679,1,0.145,0.243,0.897,0.0775,0.815,123.974
DEVA,En Verdad,147428,0.756,0.619,5,-5.894,1,0.0402,0.0896,0.000214,0.141,0.708,139.94
DEVA,Cosa Nostra,167931,0.742,0.511,10,-9.219,0,0.0609,0.155,0.0102,0.112,0.573,100.029
DEVA,A SOLAS,155719,0.707,0.845,0,-5.905,1,0.223,0.0396,3.3e-06,0.243,0.82,105.982
DEVA,"Romance (Tema de ""El Cid)""",212291,0.655,0.677,9,-5.948,0,0.309,0.296,4.39e-06,0.111,0.43,186.006
DEVA,mariposas,165818,0.656,0.575,4,-11.734,0,0.0647,0.128,0.000153,0.069,0.052,164.99
DEVA,No Me Ames,210087,0.61,0.671,4,-4.781,0,0.0875,0.0172,0.0,0.293,0.516,98.083
DEVA,Black & Proud,151588,0.685,0.569,10,-8.04,0,0.208,0.179,0.0,0.163,0.703,142.984
