Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Juicy BAE,JEALOUSY (feat. Juicy BAE),154368,0.677,0.655,7,-9.313,0,0.0563,0.131,1.05e-05,0.0809,0.459,96.057
Juicy BAE,Por Ti,196840,0.774,0.723,0,-3.776,0,0.111,0.303,6.37e-05,0.107,0.681,104.056
Juicy BAE,7 Vidas (feat. PMP),248000,0.613,0.679,6,-6.76,0,0.0412,0.213,0.000393,0.0901,0.252,120.016
Juicy BAE,4:12 en Montevideo (10.000km),265531,0.744,0.638,11,-7.156,1,0.0596,0.0163,1.52e-05,0.119,0.32,94.037
Juicy BAE,La Última Vez,155636,0.724,0.657,0,-3.027,0,0.0755,0.133,0.0,0.176,0.896,82.604
Juicy BAE,Buena y Mala (feat. Negro Bates),206001,0.714,0.669,9,-6.462,0,0.0563,0.262,0.0,0.0932,0.602,119.977
Juicy BAE,Susurrar,261250,0.511,0.456,6,-10.156,0,0.0655,0.487,0.0,0.542,0.484,124.455
Juicy BAE,una gota,176000,0.672,0.664,1,-6.735,0,0.079,0.128,0.0,0.128,0.53,150.025
Juicy BAE,MANGO LASSI,185076,0.672,0.469,0,-8.961,1,0.059,0.473,0.000138,0.408,0.0889,129.898
Juicy BAE,Malas Lenguas,131199,0.826,0.576,9,-6.203,1,0.0717,0.125,4.83e-05,0.11,0.423,112.476
