Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
La Blondie,Sin Condón,161495,0.811,0.727,7,-5.733,1,0.0639,0.0212,0.0546,0.139,0.641,96.999
La Blondie,Blue Zushi,98595,0.898,0.366,8,-10.25,1,0.5,0.0217,0.000188,0.0996,0.246,137.178
La Blondie,Súbelo,201869,0.77,0.725,7,-6.277,0,0.341,0.0615,0.00092,0.101,0.845,106.7
La Blondie,Ice Cream Cake,92300,0.902,0.583,1,-8.173,1,0.114,0.0214,5.94e-05,0.112,0.543,92.513
La Blondie,A Lo Loco,201142,0.79,0.779,9,-6.39,0,0.24,0.672,0.00514,0.322,0.716,105.003
La Blondie,Flores,182857,0.752,0.573,2,-7.1,1,0.0853,0.429,0.0,0.159,0.643,104.987
La Blondie,Trap,171200,0.77,0.632,1,-5.451,1,0.096,0.0386,0.000181,0.094,0.0946,145.975
La Blondie,Silky,249983,0.849,0.7,2,-5.967,1,0.0423,0.0738,1.1e-05,0.0595,0.158,132.957
La Blondie,Mi Pistola,147701,0.705,0.668,0,-7.545,1,0.244,0.0069,0.0236,0.103,0.715,181.995
La Blondie,Lealtad,149890,0.85,0.465,7,-12.002,0,0.345,0.29,1.65e-06,0.0937,0.395,97.06
