Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
LUNA KI,Disney,260000,0.738,0.616,1,-6.072,0,0.0519,0.308,0.000998,0.0905,0.276,90.498
LUNA KI,Septiembre,125200,0.682,0.892,6,-5.94,1,0.0316,0.0099,0.0,0.197,0.572,115.991
LUNA KI,Cuatro Bodas,166431,0.751,0.714,10,-6.419,1,0.0323,0.309,0.0,0.103,0.922,136.034
LUNA KI,HARAKIRI,141000,0.704,0.687,8,-7.533,1,0.115,0.527,8.43e-05,0.109,0.453,140.135
LUNA KI,Piketaison,181696,0.74,0.728,10,-3.792,0,0.101,0.668,1.97e-05,0.0437,0.783,98.012
LUNA KI,Enero,150096,0.791,0.695,10,-6.482,1,0.0375,0.0281,5.23e-06,0.0716,0.683,128.052
LUNA KI,Voy a Morir,180930,0.504,0.897,1,-2.974,1,0.0653,0.0223,0.0,0.325,0.338,154.934
LUNA KI,Febrero,161627,0.767,0.625,6,-7.485,0,0.0427,0.17,0.0,0.0742,0.667,122.099
LUNA KI,La Partida,159805,0.478,0.91,0,-2.11,0,0.127,0.0231,0.0,0.121,0.581,175.817
LUNA KI,Generación de Cristal,213714,0.577,0.847,0,-6.551,1,0.0624,0.0921,2.1e-05,0.239,0.747,153.125
