Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ly Raine,Stressed Out,233733,0.598,0.565,10,-6.335,0,0.0739,0.867,8.35e-06,0.112,0.298,114.921
Ly Raine,Fuckturando,176000,0.722,0.68,6,-5.075,0,0.0405,0.0351,0.0815,0.403,0.27,99.974
Ly Raine,Otra Vida (La Familia Perfecta),180640,0.814,0.666,0,-7.231,0,0.276,0.29,0.000691,0.77,0.729,91.013
Ly Raine,Deudas y Cadenas,220496,0.673,0.707,8,-7.588,0,0.0635,0.654,0.0,0.179,0.141,97.989
Ly Raine,Kriminal,153483,0.832,0.596,4,-8.61,0,0.233,0.27,2e-05,0.0978,0.26,95.999
Ly Raine,Flor de Luto,188000,0.664,0.615,10,-8.805,1,0.0462,0.135,0.0,0.145,0.384,119.978
Ly Raine,x aquí x allá,181129,0.651,0.75,11,-5.505,1,0.0525,0.0312,0.0591,0.0891,0.316,175.987
Ly Raine,2 Versiones,165000,0.76,0.639,6,-5.185,0,0.199,0.419,3.28e-06,0.0731,0.657,88.015
Ly Raine,Marzo Malo,195118,0.439,0.544,7,-9.839,1,0.257,0.131,0.0,0.166,0.138,89.955
Ly Raine,Angel y Demonio,150266,0.605,0.649,10,-7.417,0,0.188,0.612,0.0,0.122,0.379,77.127
