Brand,Followers,Percent,Brand Affinity
Spotify Music,"20,927",22.28,5.49
Beats Electronics,"6,257",6.66,3.05
SoundCloud,"7,046",7.50,2.28
Ableton,"3,733",3.98,2.27
Jagermeister,"1,472",1.57,2.24
Bershka,"1,735",1.85,2.03
Polaroid,"2,524",2.69,1.85
Canon,"2,787",2.97,1.74
Sony,"1,683",1.79,1.63
Guess,"1,209",1.29,1.58
Lacoste,"1,788",1.90,1.58
Pro Tools,"1,472",1.57,1.54
Coca-Cola,"1,525",1.62,1.53
Puma,"1,472",1.57,1.48
Kodak,"1,630",1.74,1.48
Amazon,"3,207",3.42,1.47
Pull&Bear,"1,052",1.12,1.44
GoPro,"1,998",2.13,1.40
Adidas,"4,154",4.42,1.30
Akai,"1,367",1.46,1.29
Nike,"5,942",6.33,1.27
Nikon,"1,577",1.68,1.24
Adobe,"1,052",1.12,1.24
Prada,"1,104",1.18,1.21
Lamborghini,"1,262",1.34,1.20
Balenciaga,999,1.06,1.15
Netflix,"3,260",3.47,1.12
Marvel,"1,472",1.57,1.12
Lollapalooza,"1,209",1.29,1.09
Pokemon,"1,840",1.96,1.07
Universal,999,1.06,1.05
Apple,"7,414",7.89,1.05
musical.ly,"1,367",1.46,1.04
Yamaha,"1,472",1.57,1.02
Fujifilm,894,0.95,1.01
Levi's,789,0.84,1.00
Tinder,684,0.73,1.00
Nokia,684,0.73,1.00
Reebok,736,0.78,0.99
Zara,"1,577",1.68,0.97
Pandora,894,0.95,0.94
Loewe,789,0.84,0.90
Movistar,"1,157",1.23,0.88
NYX Cosmetics,841,0.90,0.88
Versace,894,0.95,0.87
Warner Bros,789,0.84,0.87
Amazon Music,736,0.78,0.87
Vans,"1,577",1.68,0.86
HBO,"1,157",1.23,0.83
Red Bull,789,0.84,0.83
Paypal,684,0.73,0.80
Gucci,"1,367",1.46,0.80
Carhartt,684,0.73,0.79
Supreme,"1,052",1.12,0.77
DC Entertainment,"2,156",2.30,0.76
PlayStation,"1,052",1.12,0.75
Nintendo,894,0.95,0.75
Vogue,736,0.78,0.73
Pepsi,578,0.62,0.72
Tommy Hilfiger,578,0.62,0.71
H&M,789,0.84,0.70
Olympus,526,0.56,0.69
ASOS,684,0.73,0.68
Walt Disney,"4,101",4.37,0.65
Akg,578,0.62,0.65
Nissan,684,0.73,0.65
Dr. Martens,578,0.62,0.64
Converse,789,0.84,0.64
Porsche,631,0.67,0.63
Calvin Klein,473,0.50,0.62
El Corte Ingles,526,0.56,0.62
Yves Saint Laurent,631,0.67,0.61
Travelgram,"1,104",1.18,0.60
Heineken,578,0.62,0.60
GIVENCHY,473,0.50,0.59
Pantone Inc,473,0.50,0.58
McDonald's,631,0.67,0.58
Coachella,631,0.67,0.55
Toyota,736,0.78,0.55
Justin Bieber,631,0.67,0.55
Star Wars,"1,157",1.23,0.54
Christian Dior,631,0.67,0.53
Sneakerhead,526,0.56,0.52
Showtime,473,0.50,0.52
Maison Margiela,473,0.50,0.51
FIFA,473,0.50,0.51
Honda,789,0.84,0.50
Primark,473,0.50,0.50
Ferrari,473,0.50,0.50
Carrefour,578,0.62,0.50
MAC Cosmetics,526,0.56,0.48
SheInside,526,0.56,0.47
Marvel Entertainment,894,0.95,0.47
Volkswagen,578,0.62,0.46
NBA,631,0.67,0.45
Mercedes-Benz,578,0.62,0.42
Audi,526,0.56,0.41
MOOG,473,0.50,0.38
Tomorrowland,578,0.62,0.32
BMW,473,0.50,0.31
Starbucks,736,0.78,0.22
Pioneer,473,0.50,0.22
