Playlist,ID de Chartmetric de la Playlist,URL de la Playlist,ID de la Playlist de Spotify,ID de Usuario de Spotify,URL de la Playlist de Spotify,Curador,ID de Chartmetric del Curador,URL del Curador,Nombre de la Pista,Álbum,URL de la Pista,Fecha de Agregado,Días en la Lista,Fecha de Remoción,Posición,Posición Máxima,Total de Pistas,País,Seguidores,Cambio de 28 Días,Cambio de 28 Días en Porcentaje
Ethereal,983960,/playlist/spotify/983960,37i9dQZF1DXao0JEaClQq9,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXao0JEaClQq9,Spotify,2,/curator/spotify/2/about,mangata,mangata,https://app.chartmetric.com/track/118954147/about,"May 7, 2024",22 Days in List,"May 29, 2024",47,47,75,null,1615806,170,0%
Mixto,1636473,/playlist/spotify/1636473,37i9dQZF1DX7qRKBHjmYIE,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX7qRKBHjmYIE,Spotify,2,/curator/spotify/2/about,mangata,mangata,https://app.chartmetric.com/track/118954147/about,"Apr 12, 2024",47 Days in List,"May 29, 2024",11,1,65,US,755130,-634,-0%
Viral España 2024,2356191,/playlist/spotify/2356191,37i9dQZF1DWVJv1UsWItkB,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWVJv1UsWItkB,Spotify,2,/curator/spotify/2/about,La Tortura - Spotify Singles,Spotify Singles,https://app.chartmetric.com/track/110049876/about,"Sep 14, 2023",258 Days in List,"May 29, 2024",57,11,95,null,286162,4667,2%
Radar Indie,1777175,/playlist/spotify/1777175,37i9dQZF1DX6JdAKMqGwZ5,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX6JdAKMqGwZ5,Spotify,2,/curator/spotify/2/about,mangata,mangata,https://app.chartmetric.com/track/118954147/about,"Apr 12, 2024",47 Days in List,"May 29, 2024",15,4,100,null,193293,357,0%
EQUAL España,2398683,/playlist/spotify/2398683,37i9dQZF1DX6dANf8jNW4z,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX6dANf8jNW4z,Spotify,2,/curator/spotify/2/about,mangata,mangata,https://app.chartmetric.com/track/118954147/about,"Apr 30, 2024",29 Days in List,"May 29, 2024",8,8,75,null,54556,186,0%
NATHY PELUSO Radio,2141545,/playlist/spotify/2141545,37i9dQZF1E4mhtOu0iYtsK,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1E4mhtOu0iYtsK,Spotify,2,/curator/spotify/2/about,CANIJO,CANIJO,https://app.chartmetric.com/track/104095811/about,"May 26, 2024",3 Days in List,"May 29, 2024",22,10,50,null,19218,217,1%
NATHY PELUSO Radio,2141545,/playlist/spotify/2141545,37i9dQZF1E4mhtOu0iYtsK,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1E4mhtOu0iYtsK,Spotify,2,/curator/spotify/2/about,La Tortura - Spotify Singles,Spotify Singles,https://app.chartmetric.com/track/110049876/about,"May 28, 2024",1 Days in List,"May 29, 2024",45,22,50,null,19218,217,1%
Bahidorá 2024,2320372,/playlist/spotify/2320372,37i9dQZF1DWTg6mb85CdOP,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWTg6mb85CdOP,Spotify,2,/curator/spotify/2/about,si preguntas por mi,DATA,https://app.chartmetric.com/track/104513688/about,"Feb 6, 2024",113 Days in List,"May 29, 2024",51,9,100,null,13095,21,0%
Bahidorá 2024,2320372,/playlist/spotify/2320372,37i9dQZF1DWTg6mb85CdOP,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWTg6mb85CdOP,Spotify,2,/curator/spotify/2/about,La Tortura - Spotify Singles,Spotify Singles,https://app.chartmetric.com/track/110049876/about,"Feb 6, 2024",113 Days in List,"May 29, 2024",11,7,100,null,13095,21,0%
Bahidorá 2024,2320372,/playlist/spotify/2320372,37i9dQZF1DWTg6mb85CdOP,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWTg6mb85CdOP,Spotify,2,/curator/spotify/2/about,si preguntas por mi,DATA,https://app.chartmetric.com/track/104513688/about,"Feb 6, 2024",113 Days in List,"May 29, 2024",87,18,100,null,13095,21,0%
