Chartmetric ID,Artista,País,Región,Continente,Pronombres,Solista/Grupo,Géneros,Puntuación en Chartmetric,Clasificación en Chartmetric,Rango de Engagement,Clasificación por base de fans,Etapa de la carrera,Momentum Reciente,Seguidores en TikTok,Me gusta en TikTok,Tasa de Participación en TikTok,Publicaciones de TikTok,Vistas en TikTok,Conteo de Shazam,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify,Suscriptores al canal de YouTube,Vistas del canal de YouTube,Engagement en YouTube,Conteo de playlists en YouTube,Fans en Deezer,Conteo de playlists en Deezer,Alcance de playlists en Deezer,Seguidores en SoundCloud,Streams en SoundCloud,Conteo de playlists en iTunes,Conteo de playlists en Amazon,Seguidores en Instagram,Engagement en Instagram,Apariciones en radio,Seguidores de Facebook,Visualizaciones en Wikipedia,Songkick Fans,Visitas a la página de Genius,Enlace de Spotify,Primera fecha de lanzamiento,Última fecha de lanzamiento
3884730,SAIKO,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, Latin Pop, R&B/Soul, Latin",64059,727.0,529.0,4300.0,Superstar,Growth,588400.0,9800000.0,32.5132,191749.0,514456039.0,3443053.0,937796.0,15408488.0,0.060862,78.0,113919820.0,101751.0,387000.0,236780360.0,4.9035,63.0,23291.0,87.0,2079427.0,1636.0,976085.0,107.0,117.0,742713.0,17.7786,48475.0,1122.0,,103889.0,72981.0,"https://open.spotify.com/artist/10jgN4QU0ROkxU2sHNxPTi, https://open.spotify.com/artist/2O8vbr4RYPpk6MRA4fio7u, https://open.spotify.com/artist/4vFsy4H7zOes9CqUbwBoaD, https://open.spotify.com/artist/1cpHssjj3XxlIcIG8UdoMe","Feb 24, 2020","May 9, 2024"
1428885,Morad,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, Latin",56383,868.0,764.0,1889.0,Superstar,Growth,-1.0,-1.0,-1.0,1921092.0,2565557990.0,12365042.0,3062931.0,13897664.0,0.220392,78.0,58619500.0,307583.0,2920000.0,1769562493.0,2.4254,103.0,199650.0,82.0,3643526.0,23030.0,7784079.0,128.0,81.0,3632120.0,9.2745,33378.0,-1.0,241.0,114403.0,458766.0,"https://open.spotify.com/artist/3U31MyHhxbcvED6x8Mz5eX, https://open.spotify.com/artist/4az97MtWmBQ5Db3GfDh9j9, https://open.spotify.com/artist/1f7sOyceINuIOUDgH6OBgu, https://open.spotify.com/artist/7IsFY1mtIWfj9J8P1WhzNA","Jan 1, 2010","May 24, 2024"
214141,C. Tangana,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, Latin Pop, Latin",37905,1572.0,1758.0,1558.0,Superstar,Growth,431200.0,3200000.0,31.2572,1161843.0,3170207793.0,10430376.0,2712419.0,10025084.0,0.270563,70.0,60515639.0,305468.0,2330000.0,1581778432.0,1.6383,146.0,161055.0,147.0,1141224.0,10886.0,1901679.0,372.0,164.0,1751509.0,7.1061,60222.0,346671.0,258.0,279755.0,1004976.0,https://open.spotify.com/artist/5TYxZTjIPqKM8K8NuP9woO,"Jun 2, 2011","Jul 7, 2023"
256665,Omar Montes,España,Southern Europe,Europe,He/Him,Artistas solistas,"Flamenco, Latin Pop, Latin Hip-Hop/Rap, Latin",35882,1711.0,1632.0,2642.0,Mainstream,Growth,1500000.0,17600000.0,2.2801,710842.0,875669729.0,5463993.0,705569.0,9582587.0,0.07363,72.0,83312206.0,159869.0,841000.0,595905259.0,2.8723,142.0,52131.0,150.0,1967321.0,,1473806.0,182.0,100.0,1668973.0,9.8969,48176.0,173182.0,700.0,61225.0,62531.0,"https://open.spotify.com/artist/6DBzAAs0oaj5NBoVqesT3K, https://open.spotify.com/artist/3lY9Fxceu60W1rbon7PkuF","Jul 11, 2016","May 9, 2024"
740467,JC Reyes,España,Southern Europe,Europe,He/Him,Desconocido,"Latin Hip-Hop/Rap, Latin",39860,1479.0,1126.0,8572.0,Mainstream,Growth,240900.0,1900000.0,33.8813,469365.0,467200004.0,2268322.0,664845.0,8325538.0,0.079856,73.0,66169089.0,96859.0,572000.0,578395889.0,6.2421,41.0,8937.0,40.0,681128.0,,,45.0,28.0,622605.0,7.5777,4023.0,339.0,14.0,43524.0,9457.0,https://open.spotify.com/artist/0FwnPHExlRRxEZPLAi5tmG,"May 22, 2017","May 21, 2024"
3376331,Beny Jr,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, Latin",26316,2641.0,2189.0,7237.0,Mainstream,Steady,93000.0,652000.0,-1.0,143341.0,391530968.0,1857744.0,1180804.0,7914402.0,0.149197,72.0,34435287.0,165994.0,653000.0,292719443.0,1.442,31.0,50817.0,17.0,188947.0,14490.0,5274728.0,38.0,36.0,863377.0,12.2239,6622.0,-1.0,,55576.0,101212.0,"https://open.spotify.com/artist/74ubYGTo5it1DkIu4EVWlA, https://open.spotify.com/artist/22dFwJoRBV51ue5TGnC7Dt, https://open.spotify.com/artist/6Y8naBvW60JtYBIuY4uEjR","Jul 12, 2019","Apr 18, 2024"
217521,DELLAFUENTE,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, Latin",20668,3614.0,3356.0,5610.0,Mainstream,Growth,-1.0,-1.0,-1.0,40968.0,125174072.0,2284457.0,958110.0,5737110.0,0.167002,68.0,21660517.0,117878.0,526000.0,404836405.0,1.3519,58.0,33275.0,28.0,805957.0,19995.0,96540.0,102.0,55.0,611348.0,0.0,9173.0,35064.0,,81136.0,708373.0,https://open.spotify.com/artist/4bJh7sMPcVRiqe5jlnsWQV,"Jul 3, 2015","Apr 25, 2024"
186845,Maikel Delacalle,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, R&B/Soul, Latin Pop, Latin",12077,7097.0,6903.0,8431.0,Mainstream,Growth,145600.0,1700000.0,23.2404,315886.0,214590532.0,2514601.0,499269.0,3619217.0,0.137949,60.0,22835101.0,97957.0,1040000.0,455683942.0,0.2934,26.0,13048.0,70.0,311210.0,477.0,,74.0,24.0,429850.0,2.4469,6019.0,139254.0,129.0,57341.0,178828.0,https://open.spotify.com/artist/2t7vyRN71qtQT18frElAnV,"Jan 9, 2016","Apr 14, 2024"
159826,Soge Culebra,España,Southern Europe,Europe,He/Him,Artistas solistas,Hip-Hop/Rap,9940,8997.0,8871.0,9955.0,Mainstream,Steady,-1.0,-1.0,-1.0,6757.0,38575276.0,715656.0,241042.0,2471707.0,0.09752,57.0,14579532.0,48444.0,814000.0,270326668.0,0.1128,26.0,10385.0,40.0,43444.0,,,34.0,67.0,153861.0,3.3142,2924.0,22232.0,,26165.0,13234.0,https://open.spotify.com/artist/2SNfNJDsahTSVFwgxposF5,"May 27, 2016","May 23, 2024"
736564,Pepe : Vizio,España,Southern Europe,Europe,He/Him,Grupo,"Latin Hip-Hop/Rap, Latin",8313,11110.0,9200.0,28631.0,Mid-Level,Growth,-1.0,-1.0,-1.0,7209.0,23438447.0,301253.0,63509.0,2211310.0,0.02872,58.0,9933634.0,36228.0,72600.0,62217981.0,-1.0,21.0,543.0,18.0,73842.0,1341.0,2429.0,21.0,12.0,27661.0,6.1726,150.0,-1.0,,209.0,-1.0,"https://open.spotify.com/artist/1HS7JLLRSPjudc6yVY51JW, https://open.spotify.com/artist/4CxOLw8PhsxbgeMrESLKG0, https://open.spotify.com/artist/4rvJ0Ktz2X2Erea9XUHxfu","Mar 10, 2016","Jan 26, 2024"
