#,Ciudad,Público General,Afinidad,Spotify Oyentes Mensuales,Youtube Vistas Mensuales,Seguidores en Instagram
,Madrid,20.609139742,"5,3",86201.0,,10559.0
,Barcelona,11.949567441,"3,9",53709.0,,5263.0
,Seville,5.090891746,"1,3",14736.0,,3618.0
,Valencia,4.55412095,"1,5",22240.0,,1710.0
,Mexico City,4.448146357,"1,1",20166.0,,1974.0
,Santiago,3.972478785,"0,9",24364.0,,822.0
,Málaga,3.528465413,"1,2",15252.0,,1645.0
,Bogotá,2.946574021,"0,7",19287.0,,493.0
,Cádiz,2.813960438,"3,3",,,3585.0
,Buenos Aires,2.564897067,"0,6",10647.0,,1349.0
