Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Xina Mora,ASESINO,187750,0.712,0.935,8,-5.355,1,0.34,0.245,1.16e-05,0.355,0.687,165.007
Xina Mora,888 (Karma),150408,0.666,0.626,8,-6.408,0,0.248,0.0423,0.254,0.229,0.272,161.047
Xina Mora,444 (La señal),176210,0.555,0.488,5,-15.16,0,0.327,0.73,0.0208,0.0863,0.198,158.048
Xina Mora,El miedo #2,183593,0.505,0.755,4,-7.252,0,0.131,0.608,0.00019,0.177,0.353,191.998
Xina Mora,Psicópata,183366,0.482,0.897,0,-3.381,1,0.385,0.00121,0.0566,0.0472,0.349,175.135
Xina Mora,333 (Clímax),186634,0.704,0.68,10,-7.743,0,0.276,0.104,0.000541,0.0647,0.171,156.862
Xina Mora,555 (Ángel caído),168888,0.482,0.535,7,-14.215,1,0.212,0.597,0.024,0.111,0.189,161.884
Xina Mora,444 (La señal) [Shlømo & Peligre Mucho Cardio remix],297799,0.677,0.889,2,-8.474,1,0.129,0.00251,0.125,0.115,0.208,157.985
Xina Mora,444 (La señal) [Extended Mix],284007,0.676,0.63,8,-14.249,1,0.309,0.642,0.29,0.0845,0.227,157.965
Xina Mora,Xina Mora - Fugitivo Vol. 5,151048,0.661,0.495,11,-10.825,0,0.0501,0.184,0.00929,0.503,0.481,143.092
